GAME_DATE,TEAM_ABBREVIATION,WL,PTS,GAME_ID
2025-11-05,HOU,W,124,0022500176
2025-11-05,LAL,W,118,0022500179
2025-11-05,MIA,L,112,0022500178
2025-11-05,MIN,L,114,0022500175
2025-11-05,BKN,W,112,0022500173
2025-11-05,NYK,W,137,0022500175
2025-11-05,IND,L,103,0022500173
2025-11-05,PHI,L,121,0022500171
2025-11-05,POR,W,121,0022500180
2025-11-05,SAC,W,121,0022500181
2025-11-05,SAS,L,116,0022500179
2025-11-05,OKC,L,119,0022500180
2025-11-05,UTA,L,103,0022500172
2025-11-05,MEM,L,109,0022500176
2025-11-05,WAS,L,107,0022500174
2025-11-05,DET,W,114,0022500172
2025-11-06,LAC,L,102,0022500182
2025-11-06,PHX,W,115,0022500182
2025-11-07,ATL,L,97,0022500030
2025-11-07,BOS,L,110,0022500028
2025-11-07,CLE,W,148,0022500029
2025-11-07,CHI,L,110,0022500035
2025-11-07,DAL,L,104,0022500034
2025-11-07,DEN,W,129,0022500037
2025-11-07,GSW,L,104,0022500037
2025-11-07,HOU,L,110,0022500032
2025-11-07,MIA,W,126,0022500033
2025-11-07,MIL,W,126,0022500035
2025-11-07,MIN,W,137,0022500036
2025-11-07,BKN,L,107,0022500031
2025-11-07,ORL,W,123,0022500028
2025-11-07,SAC,L,101,0022500038
2025-11-07,SAS,W,121,0022500032
2025-11-07,OKC,W,132,0022500038
2025-11-07,TOR,W,109,0022500030
2025-11-07,UTA,L,97,0022500036
2025-11-07,MEM,W,118,0022500034
2025-11-07,WAS,L,115,0022500029
2025-11-07,DET,W,125,0022500031
2025-11-07,CHA,L,108,0022500033
2025-11-08,ATL,W,122,0022500185
2025-11-08,CLE,W,128,0022500186
2025-11-08,NOP,L,119,0022500188
2025-11-08,CHI,L,122,0022500186
2025-11-08,DAL,W,111,0022500183
2025-11-08,DEN,W,117,0022500189
2025-11-08,LAC,L,103,0022500190
2025-11-08,LAL,L,102,0022500185
2025-11-08,MIA,W,136,0022500187
2025-11-08,IND,L,100,0022500189
2025-11-08,PHI,W,130,0022500184
2025-11-08,PHX,W,114,0022500190
2025-11-08,POR,L,131,0022500187
2025-11-08,SAS,W,126,0022500188
2025-11-08,TOR,L,120,0022500184
2025-11-08,WAS,L,105,0022500183
2025-11-09,BOS,W,111,0022500193
2025-11-09,GSW,W,114,0022500196
2025-11-09,HOU,W,122,0022500191
2025-11-09,MIL,L,115,0022500191
2025-11-09,MIN,W,144,0022500197
2025-11-09,BKN,L,98,0022500192
2025-11-09,NYK,W,134,0022500192
2025-11-09,ORL,L,107,0022500193
2025-11-09,IND,L,83,0022500196
2025-11-09,PHI,L,108,0022500195
2025-11-09,SAC,L,117,0022500197
2025-11-09,OKC,W,114,0022500194
2025-11-09,MEM,L,100,0022500194
2025-11-09,DET,W,111,0022500195
2025-11-10,ATL,W,105,0022500206
2025-11-10,CLE,L,138,0022500201
2025-11-10,NOP,L,98,0022500204
2025-11-10,CHI,L,117,0022500202
2025-11-10,DAL,L,114,0022500203
2025-11-10,LAC,L,102,0022500206
2025-11-10,LAL,W,121,0022500198
2025-11-10,MIA,W,140,0022500201
2025-11-10,MIL,W,116,0022500203
2025-11-10,MIN,W,120,0022500205
2025-11-10,ORL,W,115,0022500200
2025-11-10,PHX,W,121,0022500204
2025-11-10,POR,L,112,0022500200
2025-11-10,SAS,W,121,0022500202
2025-11-10,UTA,L,113,0022500205
2025-11-10,WAS,L,135,0022500199
2025-11-10,DET,W,137,0022500199
2025-11-10,CHA,L,111,0022500198
2025-11-11,BOS,L,100,0022500209
2025-11-11,DEN,W,122,0022500212
2025-11-11,GSW,L,102,0022500210
2025-11-11,BKN,L,109,0022500207
2025-11-11,NYK,W,133,0022500208
2025-11-11,IND,L,128,0022500211
2025-11-11,PHI,W,102,0022500209
2025-11-11,SAC,L,108,0022500212
2025-11-11,OKC,W,126,0022500210
2025-11-11,TOR,W,119,0022500207
2025-11-11,UTA,W,152,0022500211
2025-11-11,MEM,L,120,0022500208
2025-11-12,ATL,W,133,0022500223
2025-11-12,BOS,W,131,0022500216
2025-11-12,CLE,W,130,0022500217
2025-11-12,NOP,L,117,0022500219
2025-11-12,CHI,L,113,0022500214
2025-11-12,DAL,L,114,0022500221
2025-11-12,DEN,W,130,0022500224
2025-11-12,GSW,W,125,0022500220
2025-11-12,HOU,W,135,0022500218
2025-11-12,LAC,L,116,0022500224
2025-11-12,LAL,L,92,0022500222
2025-11-12,MIA,L,116,0022500217
2025-11-12,MIL,L,100,0022500213
2025-11-12,NYK,L,107,0022500215
2025-11-12,ORL,W,124,0022500215
2025-11-12,PHX,W,123,0022500221
2025-11-12,POR,W,125,0022500219
2025-11-12,SAC,L,100,0022500223
2025-11-12,SAS,L,120,0022500220
2025-11-12,OKC,W,121,0022500222
2025-11-12,MEM,L,95,0022500216
2025-11-12,WAS,L,112,0022500218
2025-11-12,DET,W,124,0022500214
2025-11-12,CHA,W,111,0022500213
2025-11-13,ATL,W,132,0022500227
2025-11-13,CLE,L,113,0022500225
2025-11-13,IND,L,98,0022500226
2025-11-13,PHX,W,133,0022500226
2025-11-13,TOR,W,126,0022500225
2025-11-13,UTA,L,122,0022500227
2025-11-14,NOP,L,104,0022500045
2025-11-14,DAL,L,127,0022500046
2025-11-14,GSW,W,109,0022500047
2025-11-14,HOU,W,140,0022500042
2025-11-14,LAC,W,133,0022500046
2025-11-14,LAL,W,118,0022500045
2025-11-14,MIA,L,132,0022500039
2025-11-14,MIL,W,147,0022500043
2025-11-14,MIN,W,124,0022500044
2025-11-14,BKN,L,98,0022500040
2025-11-14,NYK,W,140,0022500039
2025-11-14,ORL,W,105,0022500040
2025-11-14,PHI,L,105,0022500041
2025-11-14,POR,L,116,0022500042
2025-11-14,SAC,L,110,0022500044
2025-11-14,SAS,L,108,0022500047
2025-11-14,DET,W,114,0022500041
2025-11-14,CHA,L,134,0022500043
2025-11-15,CLE,W,108,0022500228
2025-11-15,DEN,W,123,0022500232
2025-11-15,LAL,W,119,0022500231
2025-11-15,MIL,L,95,0022500231
2025-11-15,MIN,L,112,0022500232
2025-11-15,IND,L,111,0022500230
2025-11-15,OKC,W,109,0022500229
2025-11-15,TOR,W,129,0022500230
2025-11-15,MEM,L,100,0022500228
2025-11-15,CHA,L,96,0022500229
2025-11-16,ATL,W,124,0022500239
2025-11-16,BOS,W,121,0022500233
2025-11-16,NOP,L,106,0022500237
2025-11-16,CHI,L,147,0022500240
2025-11-16,DAL,W,138,0022500238
2025-11-16,GSW,W,124,0022500237
2025-11-16,HOU,W,117,0022500236
2025-11-16,LAC,L,118,0022500233
2025-11-16,BKN,W,129,0022500235
2025-11-16,ORL,L,113,0022500236
2025-11-16,PHX,L,122,0022500239
2025-11-16,POR,L,133,0022500238
2025-11-16,SAC,L,110,0022500234
2025-11-16,SAS,W,123,0022500234
2025-11-16,UTA,W,150,0022500240
2025-11-16,WAS,L,106,0022500235
2025-11-17,CLE,W,118,0022500241
2025-11-17,NOP,L,109,0022500247
2025-11-17,CHI,W,130,0022500248
2025-11-17,DAL,L,96,0022500246
2025-11-17,DEN,L,127,0022500248
2025-11-17,LAC,L,108,0022500243
2025-11-17,MIA,W,115,0022500244
2025-11-17,MIL,L,106,0022500241
2025-11-17,MIN,W,120,0022500246
2025-11-17,NYK,L,113,0022500244
2025-11-17,IND,L,112,0022500242
2025-11-17,PHI,W,110,0022500243
2025-11-17,OKC,W,126,0022500247
2025-11-17,TOR,W,110,0022500245
2025-11-17,DET,W,127,0022500242
2025-11-17,CHA,L,108,0022500245
2025-11-18,ATL,L,112,0022500251
2025-11-18,BOS,W,113,0022500250
2025-11-18,GSW,L,113,0022500249
2025-11-18,LAL,W,140,0022500253
2025-11-18,BKN,L,99,0022500250
2025-11-18,ORL,W,121,0022500249
2025-11-18,PHX,W,127,0022500254
2025-11-18,POR,L,110,0022500254
2025-11-18,SAS,W,111,0022500252
2025-11-18,UTA,L,126,0022500253
2025-11-18,MEM,L,101,0022500252
2025-11-18,DET,W,120,0022500251
2025-11-19,CLE,L,104,0022500255
2025-11-19,NOP,L,118,0022500260
2025-11-19,CHI,W,122,0022500263
2025-11-19,DAL,L,111,0022500262
2025-11-19,DEN,W,125,0022500260
2025-11-19,GSW,L,96,0022500257
2025-11-19,HOU,W,114,0022500255
2025-11-19,MIA,W,110,0022500257
2025-11-19,MIN,W,120,0022500259
2025-11-19,NYK,W,113,0022500262
2025-11-19,IND,W,127,0022500256
2025-11-19,PHI,L,112,0022500258
2025-11-19,POR,L,121,0022500263
2025-11-19,SAC,L,99,0022500261
2025-11-19,OKC,W,113,0022500261
2025-11-19,TOR,W,121,0022500258
2025-11-19,WAS,L,109,0022500259
2025-11-19,CHA,L,118,0022500256
2025-11-20,ATL,L,126,0022500267
2025-11-20,LAC,L,101,0022500264
2025-11-20,MIL,L,114,0022500266
2025-11-20,ORL,W,129,0022500264
2025-11-20,PHI,W,123,0022500266
2025-11-20,SAC,L,96,0022500265
2025-11-20,SAS,W,135,0022500267
2025-11-20,MEM,W,137,0022500265
2025-11-21,BOS,L,105,0022500049
2025-11-21,CLE,W,120,0022500048
2025-11-21,NOP,L,115,0022500052
2025-11-21,CHI,L,107,0022500051
2025-11-21,DAL,W,118,0022500052
2025-11-21,DEN,W,112,0022500054
2025-11-21,GSW,L,123,0022500056
2025-11-21,HOU,L,109,0022500054
2025-11-21,MIA,W,143,0022500051
2025-11-21,MIN,L,113,0022500053
2025-11-21,BKN,W,113,0022500049
2025-11-21,IND,L,109,0022500048
2025-11-21,PHX,W,114,0022500053
2025-11-21,POR,W,127,0022500056
2025-11-21,OKC,W,144,0022500055
2025-11-21,TOR,W,140,0022500050
2025-11-21,UTA,L,112,0022500055
2025-11-21,WAS,L,110,0022500050
2025-11-22,ATL,W,115,0022500270
2025-11-22,NOP,L,98,0022500270
2025-11-22,CHI,W,121,0022500271
2025-11-22,DAL,L,96,0022500273
2025-11-22,DEN,L,123,0022500274
2025-11-22,LAC,W,131,0022500268
2025-11-22,MIL,L,116,0022500272
2025-11-22,NYK,L,121,0022500269
2025-11-22,ORL,W,133,0022500269
2025-11-22,SAC,W,128,0022500274
2025-11-22,MEM,W,102,0022500273
2025-11-22,WAS,L,120,0022500271
2025-11-22,DET,W,129,0022500272
2025-11-22,CHA,L,116,0022500268
2025-11-23,ATL,W,113,0022500276
2025-11-23,BOS,W,138,0022500277
2025-11-23,CLE,W,120,0022500278
2025-11-23,LAC,L,105,0022500278
2025-11-23,LAL,W,108,0022500282
2025-11-23,MIA,W,127,0022500275
2025-11-23,BKN,L,109,0022500279
2025-11-23,ORL,L,129,0022500277
2025-11-23,PHI,L,117,0022500275
2025-11-23,PHX,W,111,0022500281
2025-11-23,POR,L,95,0022500280
2025-11-23,SAS,L,102,0022500281
2025-11-23,OKC,W,122,0022500280
2025-11-23,TOR,W,119,0022500279
2025-11-23,UTA,L,106,0022500282
2025-11-23,CHA,L,110,0022500276
2025-11-24,CLE,L,99,0022500284
2025-11-24,NOP,W,143,0022500289
2025-11-24,CHI,L,130,0022500289
2025-11-24,DAL,L,102,0022500286
2025-11-24,DEN,W,125,0022500287
2025-11-24,GSW,W,134,0022500291
2025-11-24,HOU,W,114,0022500290
2025-11-24,MIA,W,106,0022500286
2025-11-24,MIL,L,103,0022500288
2025-11-24,MIN,L,112,0022500292
2025-11-24,BKN,L,100,0022500285
2025-11-24,NYK,W,113,0022500285
2025-11-24,IND,L,117,0022500283
2025-11-24,PHX,L,92,0022500290
2025-11-24,POR,W,115,0022500288
2025-11-24,SAC,W,117,0022500292
2025-11-24,TOR,W,110,0022500284
2025-11-24,UTA,L,117,0022500291
2025-11-24,MEM,L,115,0022500287
2025-11-24,DET,W,122,0022500283
2025-11-25,ATL,L,113,0022500057
2025-11-25,LAC,L,118,0022500059
2025-11-25,LAL,W,135,0022500059
2025-11-25,ORL,W,144,0022500058
2025-11-25,PHI,L,103,0022500058
2025-11-25,WAS,W,132,0022500057
2025-11-26,BOS,W,117,0022500060
2025-11-26,NOP,L,128,0022500065
2025-11-26,GSW,L,100,0022500066
2025-11-26,HOU,W,104,0022500066
2025-11-26,MIA,W,106,0022500062
2025-11-26,MIL,L,103,0022500062
2025-11-26,MIN,L,105,0022500064
2025-11-26,NYK,W,129,0022500061
2025-11-26,IND,L,95,0022500063
2025-11-26,PHX,W,112,0022500068
2025-11-26,POR,L,102,0022500067
2025-11-26,SAC,L,100,0022500068
2025-11-26,SAS,W,115,0022500067
2025-11-26,OKC,W,113,0022500064
2025-11-26,TOR,W,97,0022500063
2025-11-26,MEM,W,133,0022500065
2025-11-26,DET,L,114,0022500060
2025-11-26,CHA,L,101,0022500061
2025-11-28,ATL,W,130,0022500069
2025-11-28,CLE,L,123,0022500069
2025-11-28,CHI,L,116,0022500071
2025-11-28,DAL,L,119,0022500078
2025-11-28,DEN,L,136,0022500076
2025-11-28,LAC,L,107,0022500079
2025-11-28,LAL,W,129,0022500078
2025-11-28,MIL,L,109,0022500074
2025-11-28,BKN,L,103,0022500070
2025-11-28,NYK,W,118,0022500074
2025-11-28,ORL,W,112,0022500072
2025-11-28,IND,W,119,0022500073
2025-11-28,PHI,W,115,0022500070
2025-11-28,PHX,L,119,0022500075
2025-11-28,SAC,L,119,0022500077
2025-11-28,SAS,W,139,0022500076
2025-11-28,OKC,W,123,0022500075
2025-11-28,UTA,W,128,0022500077
2025-11-28,MEM,W,112,0022500079
2025-11-28,WAS,L,86,0022500073
2025-11-28,DET,L,109,0022500072
2025-11-28,CHA,W,123,0022500071
2025-11-29,BOS,L,115,0022500293
2025-11-29,NOP,L,96,0022500298
2025-11-29,CHI,L,101,0022500295
2025-11-29,DAL,W,114,0022500300
2025-11-29,DEN,W,130,0022500299
2025-11-29,GSW,W,104,0022500298
2025-11-29,LAC,L,110,0022500300
2025-11-29,MIA,L,135,0022500296
2025-11-29,MIL,W,116,0022500297
2025-11-29,MIN,W,119,0022500293
2025-11-29,BKN,L,99,0022500297
2025-11-29,IND,W,103,0022500295
2025-11-29,PHX,L,112,0022500299
2025-11-29,TOR,L,111,0022500294
2025-11-29,DET,W,138,0022500296
2025-11-29,CHA,W,118,0022500294
2025-11-30,ATL,W,142,0022500304
2025-11-30,BOS,W,117,0022500302
2025-11-30,CLE,L,115,0022500302
2025-11-30,NOP,L,121,0022500308
2025-11-30,HOU,W,129,0022500301
2025-11-30,LAL,W,133,0022500308
2025-11-30,MIN,W,125,0022500306
2025-11-30,NYK,W,116,0022500303
2025-11-30,PHI,L,134,0022500304
2025-11-30,POR,L,115,0022500305
2025-11-30,SAC,L,107,0022500307
2025-11-30,SAS,L,112,0022500306
2025-11-30,OKC,W,123,0022500305
2025-11-30,TOR,L,94,0022500303
2025-11-30,UTA,L,101,0022500301
2025-11-30,MEM,W,115,0022500307
2025-12-01,ATL,L,98,0022500309
2025-12-01,CLE,W,135,0022500310
2025-12-01,CHI,L,120,0022500314
2025-12-01,DAL,W,131,0022500315
2025-12-01,DEN,L,121,0022500315
2025-12-01,HOU,L,125,0022500316
2025-12-01,LAC,L,123,0022500313
2025-12-01,LAL,L,108,0022500317
2025-12-01,MIA,W,140,0022500313
2025-12-01,MIL,L,126,0022500311
2025-12-01,BKN,W,116,0022500312
2025-12-01,ORL,W,125,0022500314
2025-12-01,IND,L,119,0022500310
2025-12-01,PHX,W,125,0022500317
2025-12-01,UTA,W,133,0022500316
2025-12-01,WAS,W,129,0022500311
2025-12-01,DET,W,99,0022500309
2025-12-01,CHA,L,103,0022500312
2025-12-02,BOS,W,123,0022500320
2025-12-02,NOP,L,142,0022500321
2025-12-02,GSW,L,112,0022500323
2025-12-02,MIN,W,149,0022500321
2025-12-02,NYK,L,117,0022500320
2025-12-02,PHI,W,121,0022500318
2025-12-02,POR,L,118,0022500319
2025-12-02,SAS,W,126,0022500322
2025-12-02,OKC,W,124,0022500323
2025-12-02,TOR,W,121,0022500319
2025-12-02,MEM,L,119,0022500322
2025-12-02,WAS,L,102,0022500318
2025-12-03,ATL,L,92,0022500327
2025-12-03,CLE,L,110,0022500324
2025-12-03,CHI,L,103,0022500329
2025-12-03,DEN,W,135,0022500325
2025-12-03,HOU,W,121,0022500330
2025-12-03,LAC,W,115,0022500327
2025-12-03,MIL,W,113,0022500331
2025-12-03,BKN,W,113,0022500329
2025-12-03,NYK,W,119,0022500328
2025-12-03,ORL,L,112,0022500326
2025-12-03,IND,L,120,0022500325
2025-12-03,POR,W,122,0022500324
2025-12-03,SAC,L,95,0022500330
2025-12-03,SAS,W,114,0022500326
2025-12-03,DET,L,109,0022500331
2025-12-03,CHA,L,104,0022500328
2025-12-03,MIA,L,108,0022500332
2025-12-03,DAL,W,118,0022500332
2025-12-04,BOS,W,146,0022500334
2025-12-04,NOP,L,116,0022500337
2025-12-04,GSW,L,98,0022500333
2025-12-04,LAL,W,123,0022500336
2025-12-04,MIN,W,125,0022500337
2025-12-04,BKN,L,110,0022500335
2025-12-04,PHI,W,99,0022500333
2025-12-04,TOR,L,120,0022500336
2025-12-04,UTA,W,123,0022500335
2025-12-04,WAS,L,101,0022500334
2025-12-05,ATL,L,133,0022500340
2025-12-05,BOS,W,126,0022500338
2025-12-05,CLE,W,130,0022500341
2025-12-05,CHI,L,105,0022500345
2025-12-05,DAL,L,111,0022500349
2025-12-05,DEN,W,134,0022500340
2025-12-05,HOU,W,117,0022500346
2025-12-05,LAC,L,98,0022500347
2025-12-05,LAL,L,105,0022500338
2025-12-05,MIA,L,105,0022500339
2025-12-05,MIL,L,101,0022500348
2025-12-05,NYK,W,146,0022500343
2025-12-05,ORL,W,106,0022500339
2025-12-05,IND,W,120,0022500345
2025-12-05,PHI,W,116,0022500348
2025-12-05,PHX,L,98,0022500346
2025-12-05,POR,L,116,0022500342
2025-12-05,SAS,L,117,0022500341
2025-12-05,OKC,W,132,0022500349
2025-12-05,TOR,L,86,0022500344
2025-12-05,UTA,L,112,0022500343
2025-12-05,MEM,W,107,0022500347
2025-12-05,DET,W,122,0022500342
2025-12-05,CHA,W,111,0022500344
2025-12-06,ATL,W,131,0022500351
2025-12-06,CLE,L,94,0022500352
2025-12-06,NOP,L,101,0022500350
2025-12-06,DAL,W,122,0022500356
2025-12-06,GSW,W,99,0022500352
2025-12-06,HOU,L,109,0022500356
2025-12-06,LAC,L,106,0022500355
2025-12-06,MIA,L,111,0022500354
2025-12-06,MIL,L,112,0022500353
2025-12-06,MIN,W,109,0022500355
2025-12-06,BKN,W,119,0022500350
2025-12-06,SAC,W,127,0022500354
2025-12-06,WAS,L,116,0022500351
2025-12-06,DET,W,124,0022500353
2025-12-07,BOS,W,121,0022500358
2025-12-07,CHI,L,91,0022500361
2025-12-07,DEN,W,115,0022500359
2025-12-07,GSW,W,123,0022500361
2025-12-07,LAL,W,112,0022500362
